id,name,party,constituency
N26,Eric Abetz,Liberal Party of Australia,Tasmania
269375,Alex Antic,Liberal Party of Australia,South Australia
281558,Wendy Askew,Liberal Party of Australia,Tasmania
16913,Tim Ayres,Australian Labor Party,New South Wales
HZB,Catryna Bilyk,Australian Labor Party,Tasmania
H6X,Simon Birmingham,Liberal Party of Australia,South Australia
256063,Andrew Bragg,Liberal Party of Australia,New South Wales
30484,Slade Brockman,Liberal Party of Australia,Western Australia
F49,Carol Brown,Australian Labor Party,Tasmania
245212,Matthew Canavan,The Nationals,Queensland
AW5,Kim Carr,Australian Labor Party,Victoria
I0M,Michaelia Cash,Liberal Party of Australia,Western Australia
264449,Claire Chandler,Liberal Party of Australia,Tasmania
39801,Anthony Chisholm,Australian Labor Party,Queensland
281503,Raff Ciccone,Australian Labor Party,Victoria
00AOL,Richard Colbeck,Liberal Party of Australia,Tasmania
296215,Dorinda Cox,Australian Greens,Western Australia
281697,Perin Davey,The Nationals,New South Wales
SR5,Patrick Dodson,Australian Labor Party,Western Australia
263418,Jonathon Duniam,Liberal Party of Australia,Tasmania
I0N,Don Farrell,Australian Labor Party,South Australia
250362,Mehreen Faruqi,Australian Greens,New South Wales
DYU,David Fawcett,Liberal Party of Australia,South Australia
e4t,Concetta Fierravanti-Wells,Liberal Party of Australia,New South Wales
ING,Katy Gallagher,Australian Labor Party,Australian Capital Territory
259819,Nita Green,Australian Labor Party,Queensland
76760,Stirling Griff,Centre Alliance,South Australia
296331,Karen Grogan,Australian Labor Party,South Australia
BK6,Pauline Hanson,Pauline Hanson's One Nation,Queensland
I0U,Sarah Hanson-Young,Australian Greens,South Australia
ZN4,Sarah Henderson,Liberal Party of Australia,Victoria
273828,Hollie Hughes,Liberal Party of Australia,New South Wales
266499,Jane Hume,Liberal Party of Australia,Victoria
LNW,Kristina Keneally,Australian Labor Party,New South Wales
247512,Kimberley Kitching,Australian Labor Party,Victoria
250026,Jacqui Lambie,Jacqui Lambie Network,Tasmania
112096,Sue Lines,Australian Labor Party,Western Australia
121628,Jenny McAllister,Australian Labor Party,New South Wales
122087,Malarndirri McCarthy,Australian Labor Party,Northern Territory
123072,Susan McDonald,The Nationals,Queensland
217241,James McGrath,Liberal Party of Australia,Queensland
207825,Bridget McKenzie,The Nationals,Victoria
JKM,Nick McKim,Australian Greens,Tasmania
287062,Andrew McLachlan,Liberal Party of Australia,South Australia
282728,Sam McMahon,Country Liberal Party,Northern Territory
FAB,Jim Molan,Liberal Party of Australia,New South Wales
140651,Deborah O'Neill,Australian Labor Party,New South Wales
283585,Matt O'Sullivan,Liberal Party of Australia,Western Australia
144138,James Paterson,Liberal Party of Australia,Victoria
144292,Rex Patrick,Independent,South Australia
M56,Marise Payne,Liberal Party of Australia,New South Wales
e5x,Helen Polley,Australian Labor Party,Tasmania
I0T,Louise Pratt,Australian Labor Party,Western Australia
283596,Gerard Rennick,Liberal Party of Australia,Queensland
250216,Linda Reynolds,Liberal Party of Australia,Western Australia
155410,Janet Rice,Australian Greens,Victoria
266524,Malcolm Roberts,Pauline Hanson's One Nation,Queensland
243273,Anne Ruston,Liberal Party of Australia,South Australia
282997,Paul Scarr,Liberal Party of Australia,Queensland
HZE,Zed Seselja,Liberal Party of Australia,Australian Capital Territory
168275,Tony Sheldon,Australian Labor Party,New South Wales
291406,Ben Small,Liberal Party of Australia,Western Australia
241710,Dean Smith,Liberal Party of Australia,Western Australia
281603,Marielle Smith,Australian Labor Party,South Australia
250156,Jordon Steele-John,Australian Greens,Western Australia
e68,Glenn Sterle,Australian Labor Party,Western Australia
237920,Amanda Stoker,Liberal Party of Australia,Queensland
280304,Lidia Thorpe,Australian Greens,Victoria
231199,Anne Urquhart,Australian Labor Party,Tasmania
283601,David Van,Liberal Party of Australia,Victoria
252157,Jess Walsh,Australian Labor Party,Victoria
192970,Larissa Waters,Australian Greens,Queensland
245759,Murray Watt,Australian Labor Party,Queensland
195565,Peter Whish-Wilson,Australian Greens,Tasmania
00AOU,Penny Wong,Australian Labor Party,South Australia
